serial_number,programme_or_scheme,division
1., DST DFG joint call on International Research Training Groups (IRTG) 2022,International Cooperation Division
2., WIDUSHI (Womens Instinct for Developing and Ushering in Scientific Heights & Innovation),WISE KIRAN
3., WISE SCOPE Fellowship,WISE KIRAN
4., WISE-PhD (Wise Fellowship for Ph.D.),WISE KIRAN
