serial_number,programme_or_scheme,division,start_date,end_date
1.,Scheduled Caste Sub Plan (SCSP),SEED,Sep 12 2023 12:00AM,Oct 15 2023  5:00PM
2.,Tribal Sub Plan (TSP),SEED,Sep 12 2023 12:00AM,Oct 15 2023  5:00PM
3.,BRICS Call for Proposals,International Cooperation Division,Sep 22 2023 12:00AM,Oct 31 2023  5:00PM
